fecha,hora,delitos_code,Latitude,Longitude
7/29/2013 0:00,13:00:00,Escalamiento,18.337274,-66.414102
5/13/2013 0:00,17:45:00,Agresion Agravada,18.46674,-66.735985
5/7/2013 0:00,20:37:00,Robo,18.446009,-66.681725
1/23/2013 0:00,21:03:00,Escalamiento,18.472073,-66.727053
10/11/2013 0:00,23:00:00,Apropiacion Ilegal,18.471198,-66.749574
12/26/2013 0:00,11:00:00,Apropiacion Ilegal,18.481415,-66.892868
2/19/2013 0:00,2:00:00,Apropiacion Ilegal,18.466257,-66.782737
12/12/2013 0:00,1:00:00,Apropiacion Ilegal,18.430908,-66.679924
4/15/2013 0:00,11:00:00,Apropiacion Ilegal,18.428105,-66.49809
7/16/2013 0:00,7:00:00,Apropiacion Ilegal,18.471858,-66.881332
6/19/2013 0:00,9:00:00,Vehiculo Hurtado,18.472822,-66.938749
2/10/2013 0:00,12:00:00,Escalamiento,18.432654,-66.56085
12/29/2013 0:00,23:00:00,Apropiacion Ilegal,18.308197,-66.409372
11/19/2013 0:00,23:00:00,Apropiacion Ilegal,18.486714,-66.825708
4/10/2013 0:00,13:00:00,Apropiacion Ilegal,18.483248,-66.822639
7/15/2013 0:00,2:59:00,Escalamiento,18.381417,-66.467289
12/23/2013 0:00,8:00:00,Vehiculo Hurtado,18.397573,-66.779938
12/21/2013 0:00,2:00:00,Apropiacion Ilegal,18.409204,-66.773986
5/22/2013 0:00,13:00:00,Apropiacion Ilegal,18.479015,-66.769923
11/11/2013 0:00,13:00:00,Escalamiento,18.336203,-66.403618
6/9/2013 0:00,21:30:00,Escalamiento,18.448928,-66.497412
5/8/2013 0:00,13:36:00,Robo,18.425767,-66.659192
2/13/2013 0:00,2:30:00,Escalamiento,18.452394,-66.871817
9/20/2013 0:00,23:00:00,Escalamiento,18.471858,-66.881332
1/11/2013 0:00,14:00:00,Apropiacion Ilegal,18.456496,-66.775577
10/29/2013 0:00,16:00:00,Apropiacion Ilegal,18.487973,-66.790824
4/18/2013 0:00,16:00:00,Apropiacion Ilegal,18.381417,-66.467289
9/5/2013 0:00,6:00:00,Vehiculo Hurtado,18.423011,-66.478033
6/8/2013 0:00,12:00:00,Escalamiento,18.456711,-66.815444
9/9/2013 0:00,3:00:00,Escalamiento,18.428411,-66.451296
12/18/2013 0:00,17:30:00,Escalamiento,18.419434,-66.797875
5/17/2013 0:00,17:00:00,Apropiacion Ilegal,18.429751,-66.496206
11/12/2013 0:00,20:40:00,Escalamiento,18.46701,-66.849121
9/16/2013 0:00,3:07:00,Escalamiento,18.486986,-66.651535
7/16/2013 0:00,11:00:00,Robo,18.340569,-66.383341
4/28/2013 0:00,16:00:00,Apropiacion Ilegal,18.472685,-66.484771
10/30/2013 0:00,3:00:00,Vehiculo Hurtado,18.424142,-66.48635
12/31/2013 0:00,12:30:00,Escalamiento,18.469677,-66.734326
10/30/2013 0:00,12:00:00,Apropiacion Ilegal,18.456755,-66.735705
12/25/2013 0:00,22:00:00,Apropiacion Ilegal,18.471142,-66.899344
12/28/2013 0:00,8:00:00,Apropiacion Ilegal,18.431553,-66.550915
3/13/2013 0:00,2:00:00,Escalamiento,18.366625,-66.57321
11/11/2013 0:00,8:00:00,Apropiacion Ilegal,18.467836,-66.849948
8/6/2013 0:00,9:00:00,Apropiacion Ilegal,18.465578,-66.740659
10/31/2013 0:00,22:00:00,Escalamiento,18.472314,-66.720641
4/28/2013 0:00,12:00:00,Apropiacion Ilegal,18.476853,-66.797798
6/30/2013 0:00,18:00:00,Apropiacion Ilegal,18.431688,-66.551348
3/31/2013 0:00,21:00:00,Apropiacion Ilegal,18.483799,-66.821299
12/26/2013 0:00,23:00:00,Robo,18.446077,-66.902229
8/23/2013 0:00,18:55:00,Apropiacion Ilegal,18.446448,-66.557186
12/31/2013 0:00,2:00:00,Escalamiento,18.424544,-66.67922
9/11/2013 0:00,23:00:00,Vehiculo Hurtado,18.459423,-66.743204
2/27/2013 0:00,12:00:00,Escalamiento,18.318755,-66.472182
9/9/2013 0:00,7:00:00,Escalamiento,18.481617,-66.839763
2/2/2013 0:00,14:00:00,Apropiacion Ilegal,18.492046,-66.794665
3/1/2013 0:00,7:00:00,Escalamiento,18.472776,-66.850319
6/9/2013 0:00,20:00:00,Vehiculo Hurtado,18.483896,-66.821068
1/11/2013 0:00,15:45:00,Apropiacion Ilegal,18.47524,-66.652548
2/17/2013 0:00,22:20:00,Apropiacion Ilegal,18.433352,-66.609522
4/13/2013 0:00,1:00:00,Vehiculo Hurtado,18.438288,-66.682072
12/30/2013 0:00,17:00:00,Apropiacion Ilegal,18.486535,-66.846834
1/19/2013 0:00,21:00:00,Apropiacion Ilegal,18.456864,-66.77651
5/10/2013 0:00,23:00:00,Vehiculo Hurtado,18.479781,-66.768624
1/6/2013 0:00,12:00:00,Apropiacion Ilegal,18.361227,-66.560698
12/25/2013 0:00,19:00:00,Apropiacion Ilegal,18.423461,-66.790058
4/23/2013 0:00,7:00:00,Escalamiento,18.377754,-66.562736
3/21/2013 0:00,8:00:00,Apropiacion Ilegal,18.47598,-66.773459
6/23/2013 0:00,18:00:00,Escalamiento,18.442946,-66.645552
1/6/2013 0:00,21:00:00,Apropiacion Ilegal,18.483373,-66.76888
12/30/2013 0:00,14:00:00,Escalamiento,18.484877,-66.591252
